PRIMARY_KEY,STATE,YEAR,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
2001_ALABAMA,ALABAMA,2001,11841.0,54148.0,58929.0,56591.0,42909.0,469591.0,201610.0,683042.0
2001_ALASKA,ALASKA,2001,1253.0,10095.0,10718.0,10702.0,8340.0,83540.0,39461.0,124254.0
2001_ARIZONA,ARIZONA,2001,6624.0,72119.0,74270.0,69643.0,52162.0,585206.0,249920.0,841750.0
2001_ARKANSAS,ARKANSAS,2001,1623.0,34981.0,35216.0,35372.0,28849.0,280237.0,131418.0,413278.0
2001_CALIFORNIA,CALIFORNIA,2001,100351.0,457165.0,485301.0,461133.0,365907.0,3871843.0,1745295.0,5717489.0
2001_COLORADO,COLORADO,2001,19516.0,53079.0,58028.0,56540.0,44912.0,456561.0,212989.0,689066.0
2001_CONNECTICUT,CONNECTICUT,2001,11050.0,41906.0,44990.0,43954.0,34301.0,357061.0,160211.0,528322.0
2001_DELAWARE,DELAWARE,2001,586.0,7615.0,9065.0,9396.0,7028.0,73059.0,34257.0,107902.0
2001_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2001,4105.0,5203.0,5561.0,3662.0,2815.0,41292.0,13530.0,58927.0
2001_FLORIDA,FLORIDA,2001,57038.0,177225.0,196952.0,194250.0,130613.0,1563151.0,703064.0,2323253.0
2001_GEORGIA,GEORGIA,2001,33310.0,111173.0,116886.0,112145.0,75814.0,930712.0,395439.0,1359461.0
2001_HAWAII,HAWAII,2001,917.0,13822.0,14886.0,13705.0,10632.0,117080.0,52613.0,170610.0
2001_IDAHO,IDAHO,2001,2341.0,17869.0,18974.0,19592.0,17628.0,151213.0,75098.0,228652.0
2001_ILLINOIS,ILLINOIS,2001,57550.0,148348.0,159038.0,151737.0,131411.0,1275481.0,585396.0,1918427.0
2001_INDIANA,INDIANA,2001,6147.0,72344.0,79008.0,76999.0,62913.0,630403.0,282531.0,919081.0
2001_IOWA,IOWA,2001,5714.0,34249.0,36106.0,37115.0,36469.0,287304.0,153856.0,446874.0
2001_KANSAS,KANSAS,2001,2032.0,30104.0,34932.0,36120.0,33221.0,280126.0,143570.0,425728.0
2001_KENTUCKY,KENTUCKY,2001,32407.0,45781.0,49288.0,47019.0,37160.0,391238.0,179275.0,602920.0
2001_LOUISIANA,LOUISIANA,2001,17199.0,53323.0,62290.0,61115.0,41611.0,464209.0,193536.0,674944.0
