PRIMARY_KEY,STATE,YEAR,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2017_ALABAMA,ALABAMA,2017,232.17068774150903,268.312020240893,216.41981353101102,257.686520320925
2017_ALASKA,ALASKA,2017,230.456277558902,277.015571755108,207.03763011579701,257.667496756549
2017_ARIZONA,ARIZONA,2017,234.435788152091,282.248145284054,215.46595194467602,262.957456729335
2017_ARKANSAS,ARKANSAS,2017,233.848143678937,273.75990725281,216.108025728181,259.95579848311
2017_CALIFORNIA,CALIFORNIA,2017,232.262940994562,276.638200063835,215.421814242133,262.520630021396
2017_COLORADO,COLORADO,2017,240.69501661550498,286.247717546748,224.691618694193,270.338688509674
2017_CONNECTICUT,CONNECTICUT,2017,239.237650900737,284.144330330682,228.35531240737004,272.53771145623404
2017_DELAWARE,DELAWARE,2017,236.12756170618698,278.023498869959,221.482217417377,263.089089818878
2017_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2017,231.320462145503,265.779770573735,213.38200876623299,246.78775540229
2017_FLORIDA,FLORIDA,2017,246.367695779459,279.120415156315,228.27262205238202,280.499129965249
2017_GEORGIA,GEORGIA,2017,236.383603027145,281.035487532394,219.682925180546,266.553368977303
2017_HAWAII,HAWAII,2017,237.919768737113,277.336845826814,216.364536553619,266.33044082589
2017_IDAHO,IDAHO,2017,239.96751408118098,284.371732938877,222.791065689088,260.982318855375
2017_ILLINOIS,ILLINOIS,2017,238.11894743567402,281.617997668016,220.365898453327,269.673095440861
2017_INDIANA,INDIANA,2017,246.513750055807,287.705639463898,226.417994745998,266.928549776657
2017_IOWA,IOWA,2017,243.107484364402,286.239418158172,221.74726754679,272.023875675737
2017_KANSAS,KANSAS,2017,241.21280456721001,285.283507884924,223.268429173451,267.675678851787
2017_KENTUCKY,KENTUCKY,2017,239.17825740582,277.714161796085,224.08058529007099,267.490027797007
2017_LOUISIANA,LOUISIANA,2017,228.971745398005,266.50676028364103,211.60052787486802,265.133438043566
2017_MAINE,MAINE,2017,239.898994523321,284.00300734202204,221.388602644001,256.751471206395
2017_MARYLAND,MARYLAND,2017,240.601277324157,280.910245611123,225.04933454893998,268.93063240911
2017_MASSACHUSETTS,MASSACHUSETTS,2017,249.10267390992803,297.04222521080004,235.699696767687,267.250532713498
2017_MICHIGAN,MICHIGAN,2017,235.55547254746202,279.50545469933604,217.75324201319302,277.782588599843
2017_MINNESOTA,MINNESOTA,2017,248.804302567269,293.962375743927,224.538513441395,265.468927541301
2017_MISSISSIPPI,MISSISSIPPI,2017,234.69419302812,270.91490754267,215.203305690064,268.616822331955
2017_MISSOURI,MISSOURI,2017,239.502289164298,280.596021606445,222.68108112812197,256.344701137275
2017_MONTANA,MONTANA,2017,240.72163449861802,285.600436850241,222.326721838733,266.03500691502103
2017_NEBRASKA,NEBRASKA,2017,245.59067458725,288.405955332178,224.096224936306,267.208219320757
2017_NEVADA,NEVADA,2017,231.685162157891,275.36545551406897,214.84169616634603,268.528555260402
2017_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2017,245.319838570829,293.290654433387,228.900649270634,259.806407268129
2017_NEW_JERSEY,NEW_JERSEY,2017,247.855231175611,291.698552399307,232.943318467524,274.786039733195
2017_NEW_MEXICO,NEW_MEXICO,2017,229.704281935704,269.374084020303,207.704353543603,275.04455230693
2017_NEW_YORK,NEW_YORK,2017,235.548457260667,281.687999953596,221.884015359739,255.578543060787
2017_NORTH_CAROLINA,NORTH_CAROLINA,2017,240.951393074866,281.926028447068,223.930906236334,264.15758419309
2017_NORTH_DAKOTA,NORTH_DAKOTA,2017,244.243515259852,288.172322165675,221.519265852407,262.720476897929
2017_OHIO,OHIO,2017,240.928372101796,287.714266317975,225.26113810743198,265.08192180549497
2017_OKLAHOMA,OKLAHOMA,2017,237.32627022564702,274.688883411113,216.58777517172902,268.450641614295
2017_OREGON,OREGON,2017,233.132459994163,282.173028442268,217.53107296386798,261.236933515587
2017_PENNSYLVANIA,PENNSYLVANIA,2017,241.672327208486,286.393832326288,224.924702323396,266.216684155209
2017_RHODE_ISLAND,RHODE_ISLAND,2017,237.554934304512,277.180125645798,223.353442679692,269.55382331575
2017_SOUTH_CAROLINA,SOUTH_CAROLINA,2017,234.043992967064,274.67382111862,213.127835391026,265.767859953914
2017_SOUTH_DAKOTA,SOUTH_DAKOTA,2017,241.58894696354,286.376159534544,221.750122908674,259.75300239808604
2017_TENNESSEE,TENNESSEE,2017,236.692515382765,278.77773546865103,218.95279711768399,267.355726574154
2017_TEXAS,TEXAS,2017,240.94367066802897,282.320510342396,214.87849345961,262.046852903713
2017_UTAH,UTAH,2017,242.48076624653302,286.816559110458,225.159172916822,260.342576542804
2017_VERMONT,VERMONT,2017,240.89329718948397,287.62338824063,226.445343411035,268.7524196631
2017_VIRGINIA,VIRGINIA,2017,248.041059058675,290.08140742764704,227.598382221255,273.402640307413
2017_WASHINGTON,WASHINGTON,2017,241.70100096535802,289.13125718319196,223.123408781764,267.74477849910403
2017_WEST_VIRGINIA,WEST_VIRGINIA,2017,236.057018907755,273.415853633933,217.31639617381802,271.617022995208
2017_WISCONSIN,WISCONSIN,2017,240.389213393097,288.14314431546904,219.612694271246,258.700303604492
2017_WYOMING,WYOMING,2017,247.82061920913398,288.761811740442,226.83121099577002,269.371456395493
2015_ALABAMA,ALABAMA,2015,230.977422662321,266.555318518065,217.049089788052,269.020028155068
2015_ALASKA,ALASKA,2015,236.32841695089698,280.493456179845,212.792600219066,258.753761500039
2015_ARIZONA,ARIZONA,2015,237.61175542795,282.919489420654,215.311336461445,260.317018773005
2015_ARKANSAS,ARKANSAS,2015,235.215469726642,275.06475641246897,218.077496215637,262.769391809157
2015_CALIFORNIA,CALIFORNIA,2015,231.54934500615502,275.324573012154,212.677948539849,258.76826797665797
2015_COLORADO,COLORADO,2015,241.563575620412,285.539188724412,224.023224923274,258.986842564294
